X				Y			OBJECTID	SPECIES	DIAMETER
-89.39318984	43.05081485	556	544	20
-89.3930548		43.05080842	557	972	17
-89.39291194	43.05080384	558	544	18
-89.39275866	43.05080303	559	544	12
-89.39255863	43.05080005	560	462	36
-89.39240019	43.0507954	561	951	25
-89.39221316	43.05079249	562	951	25
-89.39197418	43.0507874	563	1	0
-89.39162989	43.05065981	564	554	1
-89.39171449	43.05051354	565	554	1
-89.39185482	43.05024944	566	554	1
-89.39193418	43.05010696	567	544	18
-89.39199786	43.04997392	568	544	12
-89.39219381	43.04986445	569	318	2
-89.3923912		43.04987122	570	318	2
-89.3927435		43.04945391	571	547	23
-89.39228955	43.05174568	572	547	8
-89.39228603	43.05151201	573	1	0
-89.39228181	43.05134907	574	802	42
-89.39215032	43.05105041	575	541	23
-89.39230732	43.05113485	576	802	52
-89.39212965	43.05165908	577	544	20
-89.39212854	43.05177054	578	544	22
-89.39212592	43.05203419	579	802	26
-89.39212244	43.0520899	580	802	30
-89.39208184	43.0523512	581	972	16
-89.39211864	43.05247144	582	91	23
-89.39211832	43.05250359	583	91	18
-89.39212667	43.05254651	584	91	17
-89.39212622	43.05259152	585	91	18
-89.39212297	43.05262366	586	91	20
-89.3921285		43.05265584	587	91	15
-89.39212818	43.05268799	588	91	27
-89.39212487	43.05272656	589	91	23
-89.39210674	43.05308016	590	320	20
-89.3920971		43.05316799	591	972	40
-89.39209786	43.0533845	592	320	19
-89.39208447	43.05355591	593	320	20
-89.39208287	43.05371668	594	320	24
-89.39208447	43.05384959	595	320	19
-89.39194056	43.05391741	596	544	18
-89.39172426	43.05391626	597	544	16
-89.39158111	43.05390906	598	544	8
-89.39142615	43.05391252	599	544	14
-89.39128873	43.05391607	600	544	8
-89.39108129	43.05390639	601	544	8
-89.39093809	43.05390348	602	544	10
-89.39076566	43.05390041	603	544	16
-89.39049096	43.05389358	604	544	3
-89.38981293	43.05388137	605	462	1
-89.3900132	43.05402392	606	356	2
-89.39026753	43.054021	607	356	2
-89.39043122	43.05402188	608	356	2
-89.39062987	43.05403366	609	544	16
-89.39077311	43.05403228	610	544	15
-89.39093682	43.05403101	611	544	14
-89.39110044	43.05403832	612	544	12
-89.39129625	43.05404151	613	544	11
-89.39146288	43.05404026	614	2	8
-89.39161773	43.05404752	615	544	13
-89.39181651	43.05404644	616	544	12
-89.39236595	43.0540558	617	320	13
-89.39255886	43.05405683	618	2	33
-89.39291834	43.05406304	619	541	22
